"DepartmentKey","Address","City","County","DepartmentName","DepartmentSpecialty","DepartmentType","PostalCode","CensusTract"
-3,"*Deleted","*Deleted","*Deleted","*Deleted","*Deleted","*Deleted","*Deleted",NA
-2,"*Not Applicable","*Not Applicable","*Not Applicable","*Not Applicable","*Not Applicable","*Not Applicable","*Not Applicable",NA
-1,"*Unspecified","*Unspecified","*Unspecified","*Unspecified","*Unspecified","*Unspecified","*Unspecified",NA
1,"1500 SW 10th ST","TOPEKA","*Unspecified","INITIAL DEPT","*Unspecified","*Unknown","66604",20177003603
2,"1979 Milky Way","VERONA","*Unspecified","EHS UM DEPT","*Unspecified","*Unknown","53593",55025012700
3,"1979 Milky Way","VERONA","*Unspecified","EHS CM DEPT","*Unspecified","*Unknown","53593",55025012700
4,"1979 Milky Way","VERONA","*Unspecified","EHS CLAIMS DEPT","*Unspecified","*Unknown","53593",55025012700
5,"1979 Milky Way","VERONA","*Unspecified","EHS PROVIDER DEPT","*Unspecified","*Unknown","53593",55025012700
6,"1979 Milky Way","VERONA","*Unspecified","EHS ENROLLMENT DEPT","*Unspecified","*Unknown","53593",55025012700
7,"1979 Milky Way","VERONA","*Unspecified","EHS PREMIUM BILL DEPT","*Unspecified","*Unknown","53593",55025012700
8,"1979 Milky Way","VERONA","*Unspecified","EHS CALL CENTER","Central Scheduling","*Unknown","53593",55025012700
9,"1979 Milky Way","VERONA","*Unspecified","EHS CUSTOMER SRV DEPT","*Unspecified","*Unknown","53593",55025012700
10,"1979 Milky Way","VERONA","*Unspecified","EHS CAPITATION DEPT","*Unspecified","*Unknown","53593",55025012700
11,"1979 Milky Way","VERONA","*Unspecified","EHS INTERPRETER SCHED","*Unspecified","*Unknown","53593",55025012700
12,"1979 Milky Way","VERONA","*Unspecified","EHS RESEARCH SUPPORT","*Unspecified","*Unknown","53593",55025012700
13,"1979 Milky Way","VERONA","*Unspecified","EHS EX INT REF LAB","*Unspecified","*Unknown","53593",55025012700
14,"1979 Milky Way","VERONA","*Unspecified","EHS EX NON-INT REF LAB","*Unspecified","*Unknown","53593",55025012700
